email_text,label
Congratulations! You have won a $1000 Walmart gift card. Click here to claim now.,spam
Hi John, can we reschedule our meeting to tomorrow afternoon?,ham
URGENT: Your account has been compromised. Verify your password immediately.,spam
Don't forget to submit the assignment by Friday.,ham
Earn money from home!!! No experience required. Sign up today.,spam
Hey, are we still on for dinner tonight?,ham
Limited time offer! Get cheap meds without prescription.,spam
Please review the attached document and share your feedback.,ham
You have been selected for a free cruise to the Bahamas.,spam
Can you send me the notes from yesterday's lecture?,ham
Act now! Lowest price guaranteed. Buy before midnight.,spam
Team meeting has been moved to 10 AM tomorrow.,ham
Your loan has been approved. Call now to receive funds.,spam
Happy birthday! Hope you have a great day.,ham
This is not a scam! Transfer fees waived today only.,spam
Let's catch up sometime next week.,ham
Win cash prizes instantly. No purchase necessary.,spam
The project deadline has been extended by two days.,ham
Exclusive deal just for you. Click to unlock rewards.,spam
Please find the invoice attached.,ham
Hot singles waiting for you in your area.,spam
Thanks for your help earlier, really appreciate it.,ham
Final reminder: update your billing information.,spam
Your package will arrive tomorrow.,ham
Get rich fast using this simple trick.,spam
Are you available for a quick call?,ham
You have won a lottery you never entered.,spam
The class has been cancelled today.,ham
Free trial expires today. Upgrade now!,spam
Let's review the pull request later today.,ham
Lowest insurance rates guaranteed.,spam
Here is the agenda for the meeting.,ham
Claim your inheritance from overseas.,spam
Lunch was great, let's do it again.,ham
One click is all it takes to change your life.,spam
Can you approve the budget proposal?,ham
Make $5000 per week working online.,spam
Your bank statement is ready.,ham
Exclusive investment opportunity just for you.,spam
Please update the documentation.,ham
Urgent business proposal requires your response.,spam
Thanks for submitting your report.,ham
You've been pre-approved for a credit card.,spam
See you at the conference next month.,ham
This deal will expire in 10 minutes.,spam
Your password was changed successfully.,ham
Cheap flights available now.,spam
Please sign and return the contract.,ham
Earn passive income effortlessly.,spam
The server maintenance is complete.,ham
You have a pending refund. Claim now.,spam
Reminder: doctor appointment tomorrow.,ham
Double your income in 30 days.,spam
Meeting notes have been shared.,ham
Get paid just to read emails.,spam
Looking forward to our collaboration.,ham
